Year10y,CAgeF5y,CAgeM5y,SibStrF,SibStrM,NofMar,Pop_atRiskF,Pop_atRiskM
1990-1999,25-29,30-34,Daughter w/ brothers,Eldest son w/ brothers,263,24466.5,6197.5
1990-1999,25-29,30-34,Daughter w/ brothers,Younger son,258,24469,6891
1990-1999,25-29,35-39,Only child,Only child,2,3498,794
1990-1999,25-29,35-39,Only child,Eldest son w/o brothers,4,3497,2999
1990-1999,25-29,35-39,Only child,Eldest son w/ brothers,5,3496.5,2500.5
1990-1999,25-29,35-39,Only child,Younger son,7,3495.5,3323.5
1990-1999,25-29,35-39,Eldest daughter w/o brothers,Only child,6,6796,792
1990-1999,25-29,35-39,Eldest daughter w/o brothers,Eldest son w/o brothers,13,6792.5,2994.5
1990-1999,25-29,35-39,Eldest daughter w/o brothers,Eldest son w/ brothers,11,6793.5,2497.5
1990-1999,25-29,35-39,Eldest daughter w/o brothers,Younger son,12,6793,3321
1990-1999,25-29,35-39,Younger daughter w/o brothers,Only child,2,7795,794
1990-1999,25-29,35-39,Younger daughter w/o brothers,Eldest son w/o brothers,19,7786.5,2991.5
1990-1999,25-29,35-39,Younger daughter w/o brothers,Eldest son w/ brothers,12,7790,2497
1990-1999,25-29,35-39,Younger daughter w/o brothers,Younger son,19,7786.5,3317.5
1990-1999,25-29,35-39,Daughter w/ brothers,Only child,9,24593.5,790.5
1990-1999,25-29,35-39,Daughter w/ brothers,Eldest son w/o brothers,68,24564,2967
1990-1999,25-29,35-39,Daughter w/ brothers,Eldest son w/ brothers,41,24577.5,2482.5
1990-1999,25-29,35-39,Daughter w/ brothers,Younger son,58,24569,3298
1990-1999,25-29,40-44,Only child,Only child,0,3499,221
1990-1999,25-29,40-44,Only child,Eldest son w/o brothers,1,3498.5,1018.5
1990-1999,25-29,40-44,Only child,Eldest son w/ brothers,0,3499,1047
1990-1999,25-29,40-44,Only child,Younger son,0,3499,1686
1990-1999,25-29,40-44,Eldest daughter w/o brothers,Only child,0,6799,221
1990-1999,25-29,40-44,Eldest daughter w/o brothers,Eldest son w/o brothers,1,6798.5,1018.5
1990-1999,25-29,40-44,Eldest daughter w/o brothers,Eldest son w/ brothers,0,6799,1047
1990-1999,25-29,40-44,Eldest daughter w/o brothers,Younger son,4,6797,1684
1990-1999,25-29,40-44,Younger daughter w/o brothers,Only child,0,7796,221
1990-1999,25-29,40-44,Younger daughter w/o brothers,Eldest son w/o brothers,1,7795.5,1018.5
1990-1999,25-29,40-44,Younger daughter w/o brothers,Eldest son w/ brothers,1,7795.5,1046.5
1990-1999,25-29,40-44,Younger daughter w/o brothers,Younger son,3,7794.5,1684.5
1990-1999,25-29,40-44,Daughter w/ brothers,Only child,1,24597.5,220.5
1990-1999,25-29,40-44,Daughter w/ brothers,Eldest son w/o brothers,7,24594.5,1015.5
1990-1999,25-29,40-44,Daughter w/ brothers,Eldest son w/ brothers,4,24596,1045
1990-1999,25-29,40-44,Daughter w/ brothers,Younger son,11,24592.5,1680.5
1990-1999,25-29,45-49,Only child,Only child,0,3499,47
1990-1999,25-29,45-49,Only child,Eldest son w/o brothers,1,3498.5,184.5
1990-1999,25-29,45-49,Only child,Eldest son w/ brothers,1,3498.5,272.5
1990-1999,25-29,45-49,Only child,Younger son,0,3499,412
1990-1999,25-29,45-49,Eldest daughter w/o brothers,Only child,0,6799,47
1990-1999,25-29,45-49,Eldest daughter w/o brothers,Eldest son w/o brothers,1,6798.5,184.5
1990-1999,25-29,45-49,Eldest daughter w/o brothers,Eldest son w/ brothers,1,6798.5,272.5
1990-1999,25-29,45-49,Eldest daughter w/o brothers,Younger son,2,6798,411
1990-1999,25-29,45-49,Younger daughter w/o brothers,Only child,0,7796,47
1990-1999,25-29,45-49,Younger daughter w/o brothers,Eldest son w/o brothers,1,7795.5,184.5
1990-1999,25-29,45-49,Younger daughter w/o brothers,Eldest son w/ brothers,2,7795,272
1990-1999,25-29,45-49,Younger daughter w/o brothers,Younger son,0,7796,412
1990-1999,25-29,45-49,Daughter w/ brothers,Only child,0,24598,47
1990-1999,25-29,45-49,Daughter w/ brothers,Eldest son w/o brothers,2,24597,184
1990-1999,25-29,45-49,Daughter w/ brothers,Eldest son w/ brothers,0,24598,273
1990-1999,25-29,45-49,Daughter w/ brothers,Younger son,2,24597,411
1990-1999,30-34,15-19,Only child,Only child,0,1170,5318
1990-1999,30-34,15-19,Only child,Eldest son w/o brothers,0,1170,28810
1990-1999,30-34,15-19,Only child,Eldest son w/ brothers,0,1170,20818
1990-1999,30-34,15-19,Only child,Younger son,0,1170,24926
1990-1999,30-34,15-19,Eldest daughter w/o brothers,Only child,0,1677,5318
1990-1999,30-34,15-19,Eldest daughter w/o brothers,Eldest son w/o brothers,0,1677,28810
1990-1999,30-34,15-19,Eldest daughter w/o brothers,Eldest son w/ brothers,0,1677,20818
1990-1999,30-34,15-19,Eldest daughter w/o brothers,Younger son,0,1677,24926
1990-1999,30-34,15-19,Younger daughter w/o brothers,Only child,0,2094,5318
1990-1999,30-34,15-19,Younger daughter w/o brothers,Eldest son w/o brothers,0,2094,28810
1990-1999,30-34,15-19,Younger daughter w/o brothers,Eldest son w/ brothers,0,2094,20818
1990-1999,30-34,15-19,Younger daughter w/o brothers,Younger son,0,2094,24926
1990-1999,30-34,15-19,Daughter w/ brothers,Only child,0,6873,5318
1990-1999,30-34,15-19,Daughter w/ brothers,Eldest son w/o brothers,0,6873,28810
1990-1999,30-34,15-19,Daughter w/ brothers,Eldest son w/ brothers,0,6873,20818
1990-1999,30-34,15-19,Daughter w/ brothers,Younger son,0,6873,24926
1990-1999,30-34,20-24,Only child,Only child,0,1170,6292
1990-1999,30-34,20-24,Only child,Eldest son w/o brothers,0,1170,31246
1990-1999,30-34,20-24,Only child,Eldest son w/ brothers,1,1169.5,23530.5
1990-1999,30-34,20-24,Only child,Younger son,2,1169,26381
1990-1999,30-34,20-24,Eldest daughter w/o brothers,Only child,0,1677,6292
1990-1999,30-34,20-24,Eldest daughter w/o brothers,Eldest son w/o brothers,4,1675,31244
1990-1999,30-34,20-24,Eldest daughter w/o brothers,Eldest son w/ brothers,1,1676.5,23530.5
1990-1999,30-34,20-24,Eldest daughter w/o brothers,Younger son,0,1677,26382
1990-1999,30-34,20-24,Younger daughter w/o brothers,Only child,0,2094,6292
1990-1999,30-34,20-24,Younger daughter w/o brothers,Eldest son w/o brothers,3,2092.5,31244.5
1990-1999,30-34,20-24,Younger daughter w/o brothers,Eldest son w/ brothers,2,2093,23530
1990-1999,30-34,20-24,Younger daughter w/o brothers,Younger son,2,2093,26381
1990-1999,30-34,20-24,Daughter w/ brothers,Only child,1,6872.5,6291.5
1990-1999,30-34,20-24,Daughter w/ brothers,Eldest son w/o brothers,5,6870.5,31243.5
1990-1999,30-34,20-24,Daughter w/ brothers,Eldest son w/ brothers,3,6871.5,23529.5
1990-1999,30-34,20-24,Daughter w/ brothers,Younger son,5,6870.5,26379.5
1990-1999,30-34,25-29,Only child,Only child,3,1168.5,4900.5
1990-1999,30-34,25-29,Only child,Eldest son w/o brothers,9,1165.5,21324.5
1990-1999,30-34,25-29,Only child,Eldest son w/ brothers,8,1166,16045
1990-1999,30-34,25-29,Only child,Younger son,6,1167,16999
1990-1999,30-34,25-29,Eldest daughter w/o brothers,Only child,1,1676.5,4901.5
1990-1999,30-34,25-29,Eldest daughter w/o brothers,Eldest son w/o brothers,13,1670.5,21322.5
1990-1999,30-34,25-29,Eldest daughter w/o brothers,Eldest son w/ brothers,16,1669,16041
1990-1999,30-34,25-29,Eldest daughter w/o brothers,Younger son,9,1672.5,16997.5
1990-1999,30-34,25-29,Younger daughter w/o brothers,Only child,4,2092,4900
1990-1999,30-34,25-29,Younger daughter w/o brothers,Eldest son w/o brothers,25,2081.5,21316.5
1990-1999,30-34,25-29,Younger daughter w/o brothers,Eldest son w/ brothers,17,2085.5,16040.5
1990-1999,30-34,25-29,Younger daughter w/o brothers,Younger son,15,2086.5,16994.5
1990-1999,30-34,25-29,Daughter w/ brothers,Only child,9,6868.5,4897.5
1990-1999,30-34,25-29,Daughter w/ brothers,Eldest son w/o brothers,59,6843.5,21299.5
1990-1999,30-34,25-29,Daughter w/ brothers,Eldest son w/ brothers,33,6856.5,16032.5
1990-1999,30-34,25-29,Daughter w/ brothers,Younger son,39,6853.5,16982.5
1990-1999,30-34,30-34,Only child,Only child,8,1166,2261
1990-1999,30-34,30-34,Only child,Eldest son w/o brothers,13,1163.5,8644.5
1990-1999,30-34,30-34,Only child,Eldest son w/ brothers,11,1164.5,6323.5
1990-1999,30-34,30-34,Only child,Younger son,22,1159,7009
1990-1999,30-34,30-34,Eldest daughter w/o brothers,Only child,8,1673,2261
1990-1999,30-34,30-34,Eldest daughter w/o brothers,Eldest son w/o brothers,25,1664.5,8638.5
1990-1999,30-34,30-34,Eldest daughter w/o brothers,Eldest son w/ brothers,12,1671,6323
1990-1999,30-34,30-34,Eldest daughter w/o brothers,Younger son,27,1663.5,7006.5
1990-1999,30-34,30-34,Younger daughter w/o brothers,Only child,7,2090.5,2261.5
1990-1999,30-34,30-34,Younger daughter w/o brothers,Eldest son w/o brothers,44,2072,8629
1990-1999,30-34,30-34,Younger daughter w/o brothers,Eldest son w/ brothers,23,2082.5,6317.5
1990-1999,30-34,30-34,Younger daughter w/o brothers,Younger son,34,2077,7003
1990-1999,30-34,30-34,Daughter w/ brothers,Only child,21,6862.5,2254.5
1990-1999,30-34,30-34,Daughter w/ brothers,Eldest son w/o brothers,134,6806,8584
1990-1999,30-34,30-34,Daughter w/ brothers,Eldest son w/ brothers,96,6825,6281
1990-1999,30-34,30-34,Daughter w/ brothers,Younger son,105,6820.5,6967.5
1990-1999,30-34,35-39,Only child,Only child,2,1169,794
1990-1999,30-34,35-39,Only child,Eldest son w/o brothers,13,1163.5,2994.5
1990-1999,30-34,35-39,Only child,Eldest son w/ brothers,6,1167,2500
1990-1999,30-34,35-39,Only child,Younger son,9,1165.5,3322.5
1990-1999,30-34,35-39,Eldest daughter w/o brothers,Only child,3,1675.5,793.5
1990-1999,30-34,35-39,Eldest daughter w/o brothers,Eldest son w/o brothers,13,1670.5,2994.5
1990-1999,30-34,35-39,Eldest daughter w/o brothers,Eldest son w/ brothers,10,1672,2498
1990-1999,30-34,35-39,Eldest daughter w/o brothers,Younger son,21,1666.5,3316.5
1990-1999,30-34,35-39,Younger daughter w/o brothers,Only child,4,2092,793
1990-1999,30-34,35-39,Younger daughter w/o brothers,Eldest son w/o brothers,16,2086,2993
1990-1999,30-34,35-39,Younger daughter w/o brothers,Eldest son w/ brothers,14,2087,2496
1990-1999,30-34,35-39,Younger daughter w/o brothers,Younger son,16,2086,3319
1990-1999,30-34,35-39,Daughter w/ brothers,Only child,11,6867.5,789.5
1990-1999,30-34,35-39,Daughter w/ brothers,Eldest son w/o brothers,64,6841,2969
1990-1999,30-34,35-39,Daughter w/ brothers,Eldest son w/ brothers,45,6850.5,2480.5
1990-1999,30-34,35-39,Daughter w/ brothers,Younger son,51,6847.5,3301.5
1990-1999,30-34,40-44,Only child,Only child,1,1169.5,220.5
1990-1999,30-34,40-44,Only child,Eldest son w/o brothers,3,1168.5,1017.5
1990-1999,30-34,40-44,Only child,Eldest son w/ brothers,2,1169,1046
1990-1999,30-34,40-44,Only child,Younger son,0,1170,1686
1990-1999,30-34,40-44,Eldest daughter w/o brothers,Only child,0,1677,221
1990-1999,30-34,40-44,Eldest daughter w/o brothers,Eldest son w/o brothers,1,1676.5,1018.5
1990-1999,30-34,40-44,Eldest daughter w/o brothers,Eldest son w/ brothers,3,1675.5,1045.5
1990-1999,30-34,40-44,Eldest daughter w/o brothers,Younger son,5,1674.5,1683.5
1990-1999,30-34,40-44,Younger daughter w/o brothers,Only child,0,2094,221
1990-1999,30-34,40-44,Younger daughter w/o brothers,Eldest son w/o brothers,4,2092,1017
1990-1999,30-34,40-44,Younger daughter w/o brothers,Eldest son w/ brothers,2,2093,1046
1990-1999,30-34,40-44,Younger daughter w/o brothers,Younger son,4,2092,1684
1990-1999,30-34,40-44,Daughter w/ brothers,Only child,0,6873,221
1990-1999,30-34,40-44,Daughter w/ brothers,Eldest son w/o brothers,5,6870.5,1016.5
1990-1999,30-34,40-44,Daughter w/ brothers,Eldest son w/ brothers,7,6869.5,1043.5
1990-1999,30-34,40-44,Daughter w/ brothers,Younger son,10,6868,1681
1990-1999,30-34,45-49,Only child,Only child,0,1170,47
1990-1999,30-34,45-49,Only child,Eldest son w/o brothers,0,1170,185
1990-1999,30-34,45-49,Only child,Eldest son w/ brothers,0,1170,273
1990-1999,30-34,45-49,Only child,Younger son,0,1170,412
1990-1999,30-34,45-49,Eldest daughter w/o brothers,Only child,0,1677,47
1990-1999,30-34,45-49,Eldest daughter w/o brothers,Eldest son w/o brothers,0,1677,185
1990-1999,30-34,45-49,Eldest daughter w/o brothers,Eldest son w/ brothers,0,1677,273
1990-1999,30-34,45-49,Eldest daughter w/o brothers,Younger son,0,1677,412
1990-1999,30-34,45-49,Younger daughter w/o brothers,Only child,0,2094,47
1990-1999,30-34,45-49,Younger daughter w/o brothers,Eldest son w/o brothers,0,2094,185
1990-1999,30-34,45-49,Younger daughter w/o brothers,Eldest son w/ brothers,0,2094,273
1990-1999,30-34,45-49,Younger daughter w/o brothers,Younger son,0,2094,412
1990-1999,30-34,45-49,Daughter w/ brothers,Only child,0,6873,47
1990-1999,30-34,45-49,Daughter w/ brothers,Eldest son w/o brothers,3,6871.5,183.5
1990-1999,30-34,45-49,Daughter w/ brothers,Eldest son w/ brothers,0,6873,273
1990-1999,30-34,45-49,Daughter w/ brothers,Younger son,5,6870.5,409.5
1990-1999,35-39,15-19,Only child,Only child,0,380,5318
1990-1999,35-39,15-19,Only child,Eldest son w/o brothers,0,380,28810
1990-1999,35-39,15-19,Only child,Eldest son w/ brothers,0,380,20818
1990-1999,35-39,15-19,Only child,Younger son,0,380,24926
1990-1999,35-39,15-19,Eldest daughter w/o brothers,Only child,0,497,5318
1990-1999,35-39,15-19,Eldest daughter w/o brothers,Eldest son w/o brothers,0,497,28810
1990-1999,35-39,15-19,Eldest daughter w/o brothers,Eldest son w/ brothers,0,497,20818
1990-1999,35-39,15-19,Eldest daughter w/o brothers,Younger son,0,497,24926
1990-1999,35-39,15-19,Younger daughter w/o brothers,Only child,0,693,5318
1990-1999,35-39,15-19,Younger daughter w/o brothers,Eldest son w/o brothers,0,693,28810
1990-1999,35-39,15-19,Younger daughter w/o brothers,Eldest son w/ brothers,0,693,20818
1990-1999,35-39,15-19,Younger daughter w/o brothers,Younger son,0,693,24926
1990-1999,35-39,15-19,Daughter w/ brothers,Only child,0,2517,5318
1990-1999,35-39,15-19,Daughter w/ brothers,Eldest son w/o brothers,0,2517,28810
1990-1999,35-39,15-19,Daughter w/ brothers,Eldest son w/ brothers,0,2517,20818
1990-1999,35-39,15-19,Daughter w/ brothers,Younger son,0,2517,24926
1990-1999,35-39,20-24,Only child,Only child,0,380,6292
1990-1999,35-39,20-24,Only child,Eldest son w/o brothers,0,380,31246
1990-1999,35-39,20-24,Only child,Eldest son w/ brothers,0,380,23531
1990-1999,35-39,20-24,Only child,Younger son,0,380,26382
1990-1999,35-39,20-24,Eldest daughter w/o brothers,Only child,0,497,6292
1990-1999,35-39,20-24,Eldest daughter w/o brothers,Eldest son w/o brothers,0,497,31246
1990-1999,35-39,20-24,Eldest daughter w/o brothers,Eldest son w/ brothers,0,497,23531
1990-1999,35-39,20-24,Eldest daughter w/o brothers,Younger son,1,496.5,26381.5
1990-1999,35-39,20-24,Younger daughter w/o brothers,Only child,0,693,6292
1990-1999,35-39,20-24,Younger daughter w/o brothers,Eldest son w/o brothers,0,693,31246
1990-1999,35-39,20-24,Younger daughter w/o brothers,Eldest son w/ brothers,1,692.5,23530.5
1990-1999,35-39,20-24,Younger daughter w/o brothers,Younger son,0,693,26382
1990-1999,35-39,20-24,Daughter w/ brothers,Only child,0,2517,6292
1990-1999,35-39,20-24,Daughter w/ brothers,Eldest son w/o brothers,0,2517,31246
1990-1999,35-39,20-24,Daughter w/ brothers,Eldest son w/ brothers,0,2517,23531
1990-1999,35-39,20-24,Daughter w/ brothers,Younger son,1,2516.5,26381.5
1990-1999,35-39,25-29,Only child,Only child,0,380,4902
1990-1999,35-39,25-29,Only child,Eldest son w/o brothers,0,380,21329
1990-1999,35-39,25-29,Only child,Eldest son w/ brothers,0,380,16049
1990-1999,35-39,25-29,Only child,Younger son,0,380,17002
1990-1999,35-39,25-29,Eldest daughter w/o brothers,Only child,0,497,4902
1990-1999,35-39,25-29,Eldest daughter w/o brothers,Eldest son w/o brothers,0,497,21329
1990-1999,35-39,25-29,Eldest daughter w/o brothers,Eldest son w/ brothers,0,497,16049
1990-1999,35-39,25-29,Eldest daughter w/o brothers,Younger son,0,497,17002
1990-1999,35-39,25-29,Younger daughter w/o brothers,Only child,0,693,4902
1990-1999,35-39,25-29,Younger daughter w/o brothers,Eldest son w/o brothers,0,693,21329
1990-1999,35-39,25-29,Younger daughter w/o brothers,Eldest son w/ brothers,1,692.5,16048.5
1990-1999,35-39,25-29,Younger daughter w/o brothers,Younger son,2,692,17001
1990-1999,35-39,25-29,Daughter w/ brothers,Only child,3,2515.5,4900.5
1990-1999,35-39,25-29,Daughter w/ brothers,Eldest son w/o brothers,3,2515.5,21327.5
1990-1999,35-39,25-29,Daughter w/ brothers,Eldest son w/ brothers,5,2514.5,16046.5
1990-1999,35-39,25-29,Daughter w/ brothers,Younger son,5,2514.5,16999.5
1990-1999,35-39,30-34,Only child,Only child,0,380,2265
1990-1999,35-39,30-34,Only child,Eldest son w/o brothers,2,379,8650
1990-1999,35-39,30-34,Only child,Eldest son w/ brothers,2,379,6328
1990-1999,35-39,30-34,Only child,Younger son,1,379.5,7019.5
1990-1999,35-39,30-34,Eldest daughter w/o brothers,Only child,0,497,2265
1990-1999,35-39,30-34,Eldest daughter w/o brothers,Eldest son w/o brothers,1,496.5,8650.5
1990-1999,35-39,30-34,Eldest daughter w/o brothers,Eldest son w/ brothers,0,497,6329
1990-1999,35-39,30-34,Eldest daughter w/o brothers,Younger son,2,496,7019
1990-1999,35-39,30-34,Younger daughter w/o brothers,Only child,0,693,2265
1990-1999,35-39,30-34,Younger daughter w/o brothers,Eldest son w/o brothers,3,691.5,8649.5
1990-1999,35-39,30-34,Younger daughter w/o brothers,Eldest son w/ brothers,0,693,6329
1990-1999,35-39,30-34,Younger daughter w/o brothers,Younger son,2,692,7019
1990-1999,35-39,30-34,Daughter w/ brothers,Only child,1,2516.5,2264.5
1990-1999,35-39,30-34,Daughter w/ brothers,Eldest son w/o brothers,6,2514,8648
1990-1999,35-39,30-34,Daughter w/ brothers,Eldest son w/ brothers,5,2514.5,6326.5
1990-1999,35-39,30-34,Daughter w/ brothers,Younger son,3,2515.5,7018.5
1990-1999,35-39,35-39,Only child,Only child,1,379.5,794.5
1990-1999,35-39,35-39,Only child,Eldest son w/o brothers,3,378.5,2999.5
1990-1999,35-39,35-39,Only child,Eldest son w/ brothers,2,379,2502
1990-1999,35-39,35-39,Only child,Younger son,5,377.5,3324.5
1990-1999,35-39,35-39,Eldest daughter w/o brothers,Only child,1,496.5,794.5
1990-1999,35-39,35-39,Eldest daughter w/o brothers,Eldest son w/o brothers,2,496,3000
1990-1999,35-39,35-39,Eldest daughter w/o brothers,Eldest son w/ brothers,4,495,2501
1990-1999,35-39,35-39,Eldest daughter w/o brothers,Younger son,4,495,3325
1990-1999,35-39,35-39,Younger daughter w/o brothers,Only child,1,692.5,794.5
1990-1999,35-39,35-39,Younger daughter w/o brothers,Eldest son w/o brothers,9,688.5,2996.5
1990-1999,35-39,35-39,Younger daughter w/o brothers,Eldest son w/ brothers,1,692.5,2502.5
1990-1999,35-39,35-39,Younger daughter w/o brothers,Younger son,6,690,3324
1990-1999,35-39,35-39,Daughter w/ brothers,Only child,3,2515.5,793.5
1990-1999,35-39,35-39,Daughter w/ brothers,Eldest son w/o brothers,11,2511.5,2995.5
1990-1999,35-39,35-39,Daughter w/ brothers,Eldest son w/ brothers,13,2510.5,2496.5
1990-1999,35-39,35-39,Daughter w/ brothers,Younger son,14,2510,3320
1990-1999,35-39,40-44,Only child,Only child,0,380,221
1990-1999,35-39,40-44,Only child,Eldest son w/o brothers,0,380,1019
1990-1999,35-39,40-44,Only child,Eldest son w/ brothers,3,378.5,1045.5
1990-1999,35-39,40-44,Only child,Younger son,0,380,1686
1990-1999,35-39,40-44,Eldest daughter w/o brothers,Only child,0,497,221
1990-1999,35-39,40-44,Eldest daughter w/o brothers,Eldest son w/o brothers,2,496,1018
1990-1999,35-39,40-44,Eldest daughter w/o brothers,Eldest son w/ brothers,1,496.5,1046.5
1990-1999,35-39,40-44,Eldest daughter w/o brothers,Younger son,0,497,1686
1990-1999,35-39,40-44,Younger daughter w/o brothers,Only child,0,693,221
1990-1999,35-39,40-44,Younger daughter w/o brothers,Eldest son w/o brothers,0,693,1019
1990-1999,35-39,40-44,Younger daughter w/o brothers,Eldest son w/ brothers,0,693,1047
1990-1999,35-39,40-44,Younger daughter w/o brothers,Younger son,0,693,1686
1990-1999,35-39,40-44,Daughter w/ brothers,Only child,2,2516,220
1990-1999,35-39,40-44,Daughter w/ brothers,Eldest son w/o brothers,3,2515.5,1017.5
1990-1999,35-39,40-44,Daughter w/ brothers,Eldest son w/ brothers,3,2515.5,1045.5
1990-1999,35-39,40-44,Daughter w/ brothers,Younger son,7,2513.5,1682.5
1990-1999,35-39,45-49,Only child,Only child,0,380,47
1990-1999,35-39,45-49,Only child,Eldest son w/o brothers,0,380,185
1990-1999,35-39,45-49,Only child,Eldest son w/ brothers,0,380,273
1990-1999,35-39,45-49,Only child,Younger son,0,380,412
1990-1999,35-39,45-49,Eldest daughter w/o brothers,Only child,0,497,47
1990-1999,35-39,45-49,Eldest daughter w/o brothers,Eldest son w/o brothers,0,497,185
1990-1999,35-39,45-49,Eldest daughter w/o brothers,Eldest son w/ brothers,1,496.5,272.5
1990-1999,35-39,45-49,Eldest daughter w/o brothers,Younger son,1,496.5,411.5
1990-1999,35-39,45-49,Younger daughter w/o brothers,Only child,0,693,47
1990-1999,35-39,45-49,Younger daughter w/o brothers,Eldest son w/o brothers,0,693,185
1990-1999,35-39,45-49,Younger daughter w/o brothers,Eldest son w/ brothers,0,693,273
1990-1999,35-39,45-49,Younger daughter w/o brothers,Younger son,1,692.5,411.5
1990-1999,35-39,45-49,Daughter w/ brothers,Only child,0,2517,47
1990-1999,35-39,45-49,Daughter w/ brothers,Eldest son w/o brothers,0,2517,185
1990-1999,35-39,45-49,Daughter w/ brothers,Eldest son w/ brothers,1,2516.5,272.5
1990-1999,35-39,45-49,Daughter w/ brothers,Younger son,2,2516,411
1990-1999,40-44,15-19,Only child,Only child,0,151,5318
1990-1999,40-44,15-19,Only child,Eldest son w/o brothers,0,151,28810
1990-1999,40-44,15-19,Only child,Eldest son w/ brothers,0,151,20818
1990-1999,40-44,15-19,Only child,Younger son,0,151,24926
1990-1999,40-44,15-19,Eldest daughter w/o brothers,Only child,0,195,5318
1990-1999,40-44,15-19,Eldest daughter w/o brothers,Eldest son w/o brothers,0,195,28810
1990-1999,40-44,15-19,Eldest daughter w/o brothers,Eldest son w/ brothers,0,195,20818
1990-1999,40-44,15-19,Eldest daughter w/o brothers,Younger son,0,195,24926
1990-1999,40-44,15-19,Younger daughter w/o brothers,Only child,0,266,5318
1990-1999,40-44,15-19,Younger daughter w/o brothers,Eldest son w/o brothers,0,266,28810
1990-1999,40-44,15-19,Younger daughter w/o brothers,Eldest son w/ brothers,0,266,20818
1990-1999,40-44,15-19,Younger daughter w/o brothers,Younger son,0,266,24926
1990-1999,40-44,15-19,Daughter w/ brothers,Only child,0,1152,5318
1990-1999,40-44,15-19,Daughter w/ brothers,Eldest son w/o brothers,0,1152,28810
1990-1999,40-44,15-19,Daughter w/ brothers,Eldest son w/ brothers,0,1152,20818
1990-1999,40-44,15-19,Daughter w/ brothers,Younger son,0,1152,24926
1990-1999,40-44,20-24,Only child,Only child,0,151,6292
1990-1999,40-44,20-24,Only child,Eldest son w/o brothers,0,151,31246
1990-1999,40-44,20-24,Only child,Eldest son w/ brothers,0,151,23531
1990-1999,40-44,20-24,Only child,Younger son,0,151,26382
1990-1999,40-44,20-24,Eldest daughter w/o brothers,Only child,0,195,6292
1990-1999,40-44,20-24,Eldest daughter w/o brothers,Eldest son w/o brothers,0,195,31246
1990-1999,40-44,20-24,Eldest daughter w/o brothers,Eldest son w/ brothers,0,195,23531
1990-1999,40-44,20-24,Eldest daughter w/o brothers,Younger son,0,195,26382
1990-1999,40-44,20-24,Younger daughter w/o brothers,Only child,0,266,6292
1990-1999,40-44,20-24,Younger daughter w/o brothers,Eldest son w/o brothers,0,266,31246
1990-1999,40-44,20-24,Younger daughter w/o brothers,Eldest son w/ brothers,0,266,23531
1990-1999,40-44,20-24,Younger daughter w/o brothers,Younger son,0,266,26382
1990-1999,40-44,20-24,Daughter w/ brothers,Only child,0,1152,6292
1990-1999,40-44,20-24,Daughter w/ brothers,Eldest son w/o brothers,0,1152,31246
1990-1999,40-44,20-24,Daughter w/ brothers,Eldest son w/ brothers,0,1152,23531
1990-1999,40-44,20-24,Daughter w/ brothers,Younger son,0,1152,26382
1990-1999,40-44,25-29,Only child,Only child,0,151,4902
1990-1999,40-44,25-29,Only child,Eldest son w/o brothers,0,151,21329
1990-1999,40-44,25-29,Only child,Eldest son w/ brothers,0,151,16049
1990-1999,40-44,25-29,Only child,Younger son,0,151,17002
1990-1999,40-44,25-29,Eldest daughter w/o brothers,Only child,0,195,4902
1990-1999,40-44,25-29,Eldest daughter w/o brothers,Eldest son w/o brothers,0,195,21329
1990-1999,40-44,25-29,Eldest daughter w/o brothers,Eldest son w/ brothers,0,195,16049
1990-1999,40-44,25-29,Eldest daughter w/o brothers,Younger son,0,195,17002
1990-1999,40-44,25-29,Younger daughter w/o brothers,Only child,0,266,4902
1990-1999,40-44,25-29,Younger daughter w/o brothers,Eldest son w/o brothers,0,266,21329
1990-1999,40-44,25-29,Younger daughter w/o brothers,Eldest son w/ brothers,0,266,16049
1990-1999,40-44,25-29,Younger daughter w/o brothers,Younger son,0,266,17002
1990-1999,40-44,25-29,Daughter w/ brothers,Only child,0,1152,4902
1990-1999,40-44,25-29,Daughter w/ brothers,Eldest son w/o brothers,0,1152,21329
1990-1999,40-44,25-29,Daughter w/ brothers,Eldest son w/ brothers,0,1152,16049
1990-1999,40-44,25-29,Daughter w/ brothers,Younger son,0,1152,17002
1990-1999,40-44,30-34,Only child,Only child,0,151,2265
1990-1999,40-44,30-34,Only child,Eldest son w/o brothers,0,151,8651
1990-1999,40-44,30-34,Only child,Eldest son w/ brothers,0,151,6329
1990-1999,40-44,30-34,Only child,Younger son,0,151,7020
1990-1999,40-44,30-34,Eldest daughter w/o brothers,Only child,0,195,2265
1990-1999,40-44,30-34,Eldest daughter w/o brothers,Eldest son w/o brothers,0,195,8651
1990-1999,40-44,30-34,Eldest daughter w/o brothers,Eldest son w/ brothers,0,195,6329
1990-1999,40-44,30-34,Eldest daughter w/o brothers,Younger son,0,195,7020
1990-1999,40-44,30-34,Younger daughter w/o brothers,Only child,0,266,2265
1990-1999,40-44,30-34,Younger daughter w/o brothers,Eldest son w/o brothers,0,266,8651
1990-1999,40-44,30-34,Younger daughter w/o brothers,Eldest son w/ brothers,0,266,6329
1990-1999,40-44,30-34,Younger daughter w/o brothers,Younger son,0,266,7020
1990-1999,40-44,30-34,Daughter w/ brothers,Only child,0,1152,2265
1990-1999,40-44,30-34,Daughter w/ brothers,Eldest son w/o brothers,0,1152,8651
1990-1999,40-44,30-34,Daughter w/ brothers,Eldest son w/ brothers,0,1152,6329
